Year,Country   ,Region,Song language,Artist   ,Song   ,English translation ,Artist gender,Group/Solo,Place,Points,Host Country,Host region,Home/Away Country,Home/Away Region,Approximate Betting Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Moldova,Former Socialist Bloc,English,SunStroke Project and Olia Tira,"""Run Away""",?,Both,Group,,,Norway,Scandinavia,Away,Away,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Russia,Former Socialist Bloc,English,Peter Nalitch Band,"""Lost and Forgotten""",?,Male,Group,,,Norway,Scandinavia,Away,Away,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Estonia,Former Socialist Bloc,English,Malcolm Lincoln and Manpower 4,"""Siren""",?,Male,Group,,,Norway,Scandinavia,Away,Away,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Slovakia,Former Socialist Bloc,Slovak,Kristina,"""Horehronie""",Horehronie,Female,Solo,,,Norway,Scandinavia,Away,Away,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Finland ,Scandinavia,Finnish,Kuunkuiskaajat,"""Ty”lki ell„„""","One can work for a living, too",Female,Group,,,Norway,Scandinavia,Away,Home,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Latvia,Former Socialist Bloc,English,Aisha,"""What For?""",?,Female,Solo,,,Norway,Scandinavia,Away,Away,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Serbia,Former Yugoslavia,Serbian,Milan Stankovi?,"""Ovo je Balkan""",This is the Balkan,Male,Solo,,,Norway,Scandinavia,Away,Away,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Bosnia and Herzegovina,Former Yugoslavia,English,Vuka?in Braji?,"""Thunder and Lightning""",?,Male,Solo,,,Norway,Scandinavia,Away,Away,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Poland,Former Socialist Bloc,"English, Polish",Marcin Mrozi?ski,"""Legenda""",The legend,Male,Solo,,,Norway,Scandinavia,Away,Away,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Belgium,Western Europe,English,Tom Dice,"""Me and My Guitar""",?,Male,Solo,,,Norway,Scandinavia,Away,Away,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Malta,Western Europe,English,Thea Garrett,"""My Dream""",?,Female,Solo,,,Norway,Scandinavia,Away,Away,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Albania,Former Socialist Bloc,English,Juliana Pasha,"""It's All About You""",?,Female,Solo,,,Norway,Scandinavia,Away,Away,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Greece,Western Europe,Greek,Giorgos Alkaios and Friends,"""OPA""",OPA,Male,Group,,,Norway,Scandinavia,Away,Away,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Portugal,Western Europe,Portuguese,Filipa Azevedo,"""H  dias assim""",It's one of those days,Female,Solo,,,Norway,Scandinavia,Away,Away,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Macedonia,Former Yugoslavia,Macedonian,Gjoko Taneski,"""Jas ja imam silata""",I have the strength,Male,Solo,,,Norway,Scandinavia,Away,Away,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Belarus,Former Socialist Bloc,English,3+2,"""Butterflies""",?,Both,Group,,,Norway,Scandinavia,Away,Away,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Iceland,Scandinavia,"English, French",Hera Bj”rk,"""Je ne sais quoi""",I don't know what,Female,Solo,,,Norway,Scandinavia,Away,Home,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Lithuania,Former Socialist Bloc,English,InCulto,"""East European Funk""",?,Male,Group,,,Norway,Scandinavia,Away,Away,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Armenia,Former Socialist Bloc,English,Eva Rivas,"""Apricot Stone""",?,Female,Solo,,,Norway,Scandinavia,Away,Away,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Israel,Independent,Hebrew,Harel Skaat,"""Milim""",Words,Male,Solo,,,Norway,Scandinavia,Away,Away,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Denmark,Scandinavia,English,Chan‚e and N'evergreen,"""In a Moment Like This""",?,Both,Group,,,Norway,Scandinavia,Away,Home,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Switzerland,Western Europe,French,Michael von der Heide,"""Il pleut de l'or""",It's raining gold,Male,Solo,,,Norway,Scandinavia,Away,Away,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sweden,Scandinavia,English,Anna Bergendahl,"""This Is My Life""",?,Female,Solo,,,Norway,Scandinavia,Away,Home,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Azerbaijan,Former Socialist Bloc,English,Safura Alizadeh,"""Drip Drop""",?,Female,Solo,,,Norway,Scandinavia,Away,Away,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Ukraine,Former Socialist Bloc,English,Alyosha,"""Sweet People""",?,Female,Solo,,,Norway,Scandinavia,Away,Away,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
