GalaxyId,e1,e2
1,-0.1388900,0.0901470
2,0.0789388,0.0639775
3,0.0450590,-0.1494360
4,-0.1949310,-0.0237488
5,-0.0828024,-0.3053330
6,0.2592470,0.1167600
7,-0.0135757,-0.1890540
8,-0.0819284,-0.0342849
9,0.1395570,0.3187300
10,0.0677537,0.1176560
11,-0.1022780,0.2903020
12,-0.0919978,-0.1430560
13,-0.2487930,0.1276160
14,0.1547580,0.0756382
15,-0.1505730,0.1460650
16,0.0240020,0.1381720
17,0.3566440,-0.0438962
18,-0.2222750,0.1671940
19,-0.0698471,0.0758517
20,0.1464840,-0.0435981
21,-0.1276730,0.2314030
22,-0.1645510,-0.0885982
23,0.1058670,-0.0396309
24,0.1222420,-0.0312305
25,-0.0813351,-0.0701336
26,-0.0043762,-0.1673610
27,-0.1574450,0.0072128
28,0.0044255,0.0571575
29,0.0220433,0.0552949
30,0.0540428,-0.0093726
31,-0.1009550,0.0304442
32,0.1265790,0.3290300
33,0.1585960,0.0986340
34,-0.1662360,0.0774705
35,-0.2144920,-0.1170470
36,0.1440530,0.0139834
37,0.1840480,-0.2892620
38,0.0965751,-0.1100080
39,0.1127150,-0.0830078
40,-0.1221420,0.0594743
41,0.1444250,-0.1017830
42,-0.0029367,0.1443040
43,-0.2520440,-0.1501750
44,-0.1229590,-0.0870300
45,0.3536360,-0.0195618
46,0.0614599,0.0500242
47,-0.3098620,-0.1272650
48,0.0068687,0.1100380
49,0.1372610,0.0181551
50,-0.1080510,0.1894140
51,-0.0651374,-0.0435835
52,0.0985268,0.2150490
53,-0.0824381,0.2210190
54,0.0045767,0.1476970
55,0.0229330,0.1196350
56,-0.0448571,0.1449290
57,-0.0549989,0.1594330
58,0.0111197,0.0778241
59,-0.0861848,0.1375700
60,-0.1196500,0.0765494
61,0.1244060,-0.0371644
62,0.2489100,-0.0639307
63,-0.0992162,-0.2628030
64,0.1583020,0.0465609
65,-0.1549580,0.0656137
66,-0.2962860,0.1745980
67,0.1525790,-0.0399240
68,-0.0169840,0.2504800
69,0.0614240,0.1243880
70,-0.1659600,0.0726405
71,0.1753180,-0.2097500
72,0.1259340,0.1859850
73,-0.0138904,0.0510817
74,-0.1522010,0.2595890
75,-0.0537804,0.1557830
76,-0.0341898,-0.0351081
77,0.1107180,0.0769927
78,0.0053429,-0.1305690
79,0.2604390,-0.2536070
80,-0.0773011,0.0953798
81,-0.1843010,-0.0360417
82,0.1512090,0.2101740
83,-0.1252030,-0.2139740
84,-0.1970190,-0.0125776
85,-0.0537525,0.1852470
86,0.1014750,0.0304814
87,0.2555680,0.1148280
88,0.0721203,0.0063785
89,-0.0034849,0.1080510
90,0.0032992,-0.0577050
91,0.0595339,-0.1233630
92,-0.1348870,0.0256672
93,-0.2827000,0.3042080
94,0.1612120,-0.1116920
95,0.0776919,0.3408680
96,-0.0504612,0.1298450
97,-0.0817733,0.0244274
98,0.0815789,0.2032410
99,0.0463738,0.1730980
100,0.0721572,0.2531750
101,0.1838610,0.0751546
102,-0.2250030,0.0394051
103,-0.1758800,0.1957900
104,0.0549343,0.2226640
105,-0.1204380,0.0945325
106,-0.0849069,0.1733770
107,0.2650780,0.1184280
108,0.1670030,-0.0884291
109,0.2928990,0.1847880
110,-0.0172424,-0.2221400
111,-0.1158190,0.1361680
112,-0.2050180,-0.1293140
113,-0.0441041,0.2732820
114,-0.1005540,0.1006620
115,0.1532110,0.1810310
116,-0.1841670,0.0081263
117,-0.0927311,0.0102601
118,0.0801034,-0.1674580
119,0.1679730,-0.0696860
120,-0.2575250,0.0014664
121,-0.0064096,0.2726900
122,-0.1567330,-0.0938452
123,-0.0261196,-0.0743919
124,-0.1316900,0.0870945
125,0.3820680,0.0312957
126,0.0663000,0.0637879
127,-0.0909013,0.1050630
128,-0.0932544,0.1955430
129,-0.2048300,-0.0009519
130,0.2581280,-0.1629940
131,0.2508020,0.0280572
132,0.0524298,0.2021550
133,-0.2810070,-0.1229010
134,-0.0250219,-0.0365320
135,-0.2037590,-0.0300050
136,0.0721858,0.1643810
137,0.1361560,0.0186352
138,-0.1164160,0.1521760
139,-0.0892551,0.1933230
140,0.3228330,-0.0170984
141,-0.0700159,-0.1050400
142,-0.2116500,0.1187280
143,0.1342190,-0.0647251
144,0.0366728,-0.0122776
145,-0.2729180,0.1101460
146,0.1764060,0.0900458
147,0.3638170,-0.2659900
148,-0.2249890,0.0082047
149,-0.0835855,-0.1706960
150,0.1643970,-0.0125991
151,0.1579140,-0.1262760
152,0.0021845,0.2139210
153,-0.0812338,0.0293083
154,0.0984458,-0.1187210
155,-0.2147860,-0.0972726
156,-0.0384275,-0.2621810
157,-0.1547940,0.0685121
158,-0.0226825,-0.1042380
159,-0.0053598,0.2490510
160,-0.1095100,0.0365213
161,0.2341180,0.1386190
162,-0.2354410,0.1146190
163,0.2160340,-0.2127900
164,-0.1121990,0.0459909
165,-0.2033840,0.0241546
166,0.3661230,0.0345826
167,-0.0452503,-0.1081890
168,0.1038290,-0.0309354
169,0.0972311,0.1382500
170,-0.0014059,0.3221450
171,-0.2596760,0.0100031
172,0.2297360,0.1478910
173,-0.0997499,-0.1445380
174,-0.2476050,-0.0651787
175,-0.1063020,0.1253370
176,0.0971373,-0.1099860
177,0.0887357,-0.0321488
178,-0.0214552,-0.2015830
179,-0.2896600,-0.1499090
180,-0.0788978,-0.0300310
181,0.0993061,-0.2479690
182,-0.0216504,-0.0252557
183,0.4176610,-0.1458060
184,-0.1016010,0.0345107
185,0.0971317,0.2117550
186,-0.1340910,0.1577410
187,-0.1390370,-0.0319770
188,0.2747830,-0.1556060
189,-0.0054864,0.0117386
190,0.0528804,-0.0789652
191,0.1406440,0.0763379
192,-0.1782340,0.1146640
193,0.1178410,0.0295194
194,-0.0087130,-0.2545680
195,-0.2401090,-0.0796719
196,0.2374150,-0.0540541
197,-0.0732626,-0.0365756
198,0.1452320,0.0902757
199,-0.1545590,0.1407600
200,0.0154875,0.1333150
201,-0.0042376,-0.0315218
202,0.3246470,0.1649370
203,-0.1740140,0.1501180
204,-0.0956941,0.2093220
205,-0.0838330,0.0041936
206,0.0360207,0.1576420
207,0.1513780,0.2638430
208,-0.1179970,-0.0640607
209,-0.0998685,0.0124682
210,0.0051978,-0.0898595
211,0.0543372,-0.0776884
212,0.1077240,-0.2370710
213,-0.1328210,-0.0820907
214,0.1874050,-0.0636860
215,-0.2975200,0.2456910
216,0.1118880,-0.0098300
217,-0.2768630,0.0927504
218,0.0809562,0.0424407
219,0.0715202,0.1723010
220,-0.0759262,-0.0073828
221,-0.1207730,0.2004090
222,-0.0671793,-0.0565343
223,-0.2193350,-0.0748481
224,0.1214310,0.0964968
225,-0.0484450,-0.1246410
226,0.1838990,-0.0986025
227,0.1534940,-0.1437700
228,-0.3447740,0.0717184
229,-0.0551785,-0.2605570
230,0.1521590,-0.1824660
231,0.1965490,-0.1474760
232,-0.1011020,0.0736126
233,0.0000069,-0.0582576
234,-0.1698990,0.0499344
235,0.2187040,-0.1520410
236,0.0725195,0.0020055
237,-0.1029820,-0.1030930
238,0.1701610,0.0422279
239,0.0804263,0.0975721
240,-0.1007980,0.0690809
241,-0.0159008,0.0021232
242,-0.0131823,0.1824740
243,0.0567055,-0.0161187
244,0.0360345,0.1307570
245,-0.1118890,0.2133130
246,-0.1279340,0.2412030
247,-0.2212020,0.0107966
248,0.0434182,-0.0583704
249,0.0525044,-0.1651250
250,0.1643020,0.1461400
251,0.0357636,-0.2000280
252,-0.0771180,0.0150436
253,0.2081940,-0.0274585
254,-0.1985330,0.0028049
255,-0.2071750,-0.1008880
256,-0.0647875,-0.2430150
257,0.2627150,0.1047820
258,-0.0420775,-0.0347836
259,0.0311262,0.2044950
260,0.1249730,-0.0377235
261,-0.1364610,-0.0120486
262,0.1580040,0.1953910
263,-0.4245960,-0.3396600
264,0.0496819,0.1651530
265,0.2025440,0.1446070
266,0.0037563,0.1381040
267,0.2189390,-0.0331080
268,-0.1265630,0.1352730
269,-0.1548830,-0.1133430
270,0.3007400,-0.0826797
271,-0.0297051,-0.3071990
272,-0.2508890,-0.0546190
273,-0.0126307,0.1499650
274,-0.2101050,0.0163456
275,0.0420629,-0.0153413
276,0.1616830,-0.0994901
277,-0.2013780,0.1589630
278,0.1359950,-0.2805520
279,-0.1014530,0.0828785
280,-0.2570440,0.1563330
281,0.1562140,0.3094410
282,0.0984783,0.2889630
283,0.2359770,0.0444521
284,0.1653260,0.0569299
285,-0.0351994,0.0066751
286,-0.3166920,0.1321010
287,0.0022675,-0.1581410
288,0.2026280,0.1881350
289,0.0142551,0.2190080
290,0.0638393,-0.2778830
291,-0.0202427,-0.1199370
292,-0.1156710,0.0014652
293,0.0213356,-0.0681079
294,-0.1647110,-0.1441280
295,0.1788120,0.0332899
296,0.2468270,0.1219000
297,0.2093470,0.0394705
298,-0.1354850,0.0088279
299,0.1439160,0.2510750
300,-0.2849330,0.0717060
301,-0.0013560,-0.2128980
302,0.0247172,0.0351003
303,0.1603720,-0.0178406
304,-0.2174280,0.0326105
305,-0.0631815,-0.1259270
306,0.2026620,-0.1037040
307,-0.0115028,0.0945437
308,-0.0897775,0.0112990
309,0.0526949,0.2028660
310,-0.2398650,0.1057690
311,0.0925956,-0.0179435
312,-0.0564943,0.1087510
313,0.0038737,-0.1350010
314,0.0708244,0.0547030
315,0.0911127,0.0177057
316,-0.1819250,-0.0274355
317,0.0660407,-0.0742050
318,0.0691057,-0.2263320
319,-0.0482069,0.1098150
320,-0.2203990,0.2152550
321,-0.3814910,0.0285610
322,0.2040140,-0.0926560
323,-0.1157250,-0.0819881
324,0.1665900,0.0428405
325,-0.0104326,0.3057230
326,-0.0917951,0.1836420
327,-0.1454340,0.1959040
328,0.0258360,0.2137910
329,-0.0604421,-0.2063790
330,0.0518343,-0.2839550
331,-0.1461640,-0.0406023
332,0.4260730,0.1696710
333,0.0581014,0.1206240
334,-0.0678374,0.0232545
335,-0.0556519,-0.1811250
336,0.0201604,0.0252489
337,0.0921768,0.0319433
338,-0.3643280,0.0687400
339,0.1224050,-0.1603830
340,0.0672424,-0.0580641
341,-0.0999688,-0.1661680
342,0.3275900,0.0096976
343,0.1329930,-0.1212660
344,-0.1500770,0.0570429
345,-0.0335745,-0.1434160
346,0.0196039,-0.0252755
347,-0.0630529,0.0016280
348,-0.0052443,0.2685180
349,0.0980960,0.0033904
350,-0.0702166,0.0895179
351,-0.1558880,0.0660543
352,0.1259020,0.1713160
353,0.0684884,0.0944164
354,-0.1489640,0.0579801
355,0.0191279,-0.0345689
356,0.0350328,-0.0828924
357,0.0780227,0.2582350
358,0.0377218,0.2244780
359,-0.1973110,0.1966430
360,0.0878935,0.0180728
361,0.0508620,0.0610902
362,-0.1748080,0.1751650
363,0.2244350,0.0112880
364,-0.1309600,0.3399010
365,0.1241490,0.1479110
366,-0.0016779,0.0395277
367,0.0247490,-0.1845960
368,0.0365056,0.1210720
369,-0.0007259,0.1601690
370,-0.1987840,0.4511010
371,0.1425510,0.0991821
372,-0.1647990,0.1137170
373,-0.2795090,-0.0498102
374,-0.0354704,-0.0396843
375,0.1121450,-0.1041610
376,0.1034430,0.0306464
377,0.0561082,0.0585218
378,-0.1890750,-0.1172320
379,0.0502183,0.1755900
380,0.2645790,0.0302537
381,0.0119907,0.0885529
382,0.1500650,0.1693450
383,-0.2924550,0.0265269
384,-0.0514431,-0.0118316
385,-0.1124810,0.0510963
386,0.0721555,0.0266565
387,0.2449030,-0.2255690
388,-0.2973010,-0.0883638
389,0.0613528,-0.0156201
390,-0.2233500,-0.2389660
391,0.1313170,0.0159849
392,0.2441070,0.1982830
393,0.1279190,0.0969879
394,0.1132490,0.2018030
395,0.0799753,-0.0757431
396,-0.1644450,0.0685546
397,-0.0165506,-0.2160730
398,0.0582610,0.0090196
399,-0.2743710,-0.1916230
400,0.2755370,0.0154031
401,0.0304374,-0.0451593
402,-0.0498406,-0.0205290
403,0.0540680,0.0688343
404,0.1284400,0.0402598
405,0.2261200,-0.0939080
406,-0.1249080,0.1007570
407,0.0721194,0.1964590
408,0.0815589,-0.0503745
409,-0.3888880,-0.0484985
